,AU,AT,BE,CA,DK,FI,FR,DE,GR,IE,IT,JP,KR,LU,NL,NZ,NO,PT,ES,SE,CH,GB,US,Total
DM,0,1.06,0,0.1,0,0,2.39,0.04,0,0,1.01,3.4,0.01,0.01,0,0.01,0,0,0.04,0,0,0.03,0,8.1
DO,0.03,0.84,0.8,0.72,0,0.29,105.95,0.75,0,0,1.47,-6.17,3.05,0,0.13,0,0.29,0,51.28,0.3,0.01,0.15,27.2,187.09
EC,0.27,0.05,12.14,1.18,0.16,1.04,0.52,41.11,0,0.02,2.48,-10.29,16.85,0.23,0.4,0.34,2.9,0,21.98,0.26,2.83,0.22,42.08,136.77
EG,8.75,8.48,1.1,15.17,12,1.95,115.84,164.33,8.4,0.76,14.47,-91.29,3.8,0.17,10.06,0.47,1.87,0.09,16.25,5.6,11.85,17.42,-99.38,228.16
SV,0.54,0.09,1.25,3.64,0,0.67,3.21,14.85,0.05,1.5,4.15,-8.65,4.93,7.76,0.15,0.04,2.1,0.07,44.56,1.41,1.96,0.01,165.21,249.5
GQ,0.01,0.02,0.18,1.57,0,0,3.68,0.08,0.01,0,0,0.32,0.29,0,0,0,0,0.01,15.35,0,0.06,0,0.05,21.63
ER,0.01,0,0.11,0.75,0.31,0.54,0.79,0.8,0.02,0.35,1.9,9.44,0.01,0,0.12,0,8.07,0,0.03,1.03,0.59,8.37,0.07,33.31
ET,11.87,18.82,8.4,118.64,21.89,23.65,13.19,101.21,1.1,49.52,24.76,119.7,11.61,1.4,67.9,0.19,29.09,0.02,38.82,40.67,11.34,552.25,706.66,1972.7
FJ,0,36.58,0,0,0,0,0.78,0.84,0,0,0,18.76,0.82,0,0,3.94,0,0,0,0.06,0,0.21,2.37,64.36
GA,0,0.08,-0.65,1.58,0,0.03,51.39,-3.52,0,0,0.02,10.96,0.62,0.08,0,0,0,0,0.1,0,0,0.2,0.66,61.55
GM,-0.07,1.3,0.33,2.96,0.3,0.19,0.35,0.47,0.02,0.25,0.15,11.45,0.06,0.16,0,0.01,0.29,0,5.72,0.68,0,8.82,3.1,36.54
GE,1.81,0,0,0.06,4.54,4.19,7.27,73.61,1.66,0.28,0.11,4.71,0.16,0,0.68,0,10.11,0.1,0.11,19.25,9.36,3.19,172.6,313.8
