Period,Itotal,Ifoods,Iindustrial,Icapital_goods,Ivehicles,Iconsumer_goods,Iother,Etotal,Efoods,Eindustrial,Ecapital_goods,Evehicles,Econsumer_goods,Eother
SEP,163337.00,7900.00,49345.00,40044.00,19451.00,41550.00,5047.00,107964.00,9367.00,32610.00,37927.00,9575.00,13707.00,4777.00
OCT,164571.00,7773.00,50081.00,39195.00,19813.00,42368.00,5341.00,112137.00,10161.00,34561.00,38527.00,9885.00,13925.00,5078.00
NOV,165085.00,7978.00,50871.00,40372.00,19601.00,40983.00,5281.00,113068.00,10292.00,35205.00,38596.00,9556.00,14894.00,4525.00
DEC,169514.00,8105.00,54619.00,40128.00,19817.00,41551.00,5295.00,116272.00,10396.00,36676.00,39852.00,9865.00,14680.00,4803.00
2009,1559625.00,81615.00,462380.00,370480.00,157652.00,427332.00,60165.00,1056043.00,93908.00,296508.00,391242.00,81715.00,149455.00,43215.00
JAN,129116.00,6912.00,38296.00,31808.00,11207.00,35852.00,5040.00,82415.00,7041.00,22121.00,32844.00,5413.00,11373.00,3622.00
FEB,121807.00,6767.00,34436.00,30223.00,10489.00,34494.00,5398.00,84903.00,7203.00,22095.00,33301.00,5867.00,12699.00,3738.00
MAR,121885.00,6741.00,34511.00,30059.00,10394.00,35365.00,4815.00,83500.00,7262.00,22460.00,32353.00,5790.00,12236.00,3400.00
APR,120572.00,6706.00,33460.00,29173.00,10622.00,35822.00,4789.00,81088.00,7617.00,21206.00,31214.00,5817.00,11869.00,3366.00
MAY,118736.00,6704.00,33208.00,28905.00,10207.00,34772.00,4940.00,83369.00,7988.00,23142.00,31143.00,5569.00,12139.00,3388.00
JUN,122156.00,6789.00,36773.00,29112.00,11124.00,33607.00,4751.00,85737.00,8285.00,24370.00,31920.00,5604.00,12099.00,3460.00
JUL,129912.00,6832.00,38584.00,30401.00,13315.00,35450.00,5331.00,87833.00,8085.00,24786.00,31986.00,6844.00,12480.00,3652.00
AUG,128770.00,6720.00,38290.00,30111.00,14140.00,34794.00,4716.00,87767.00,7816.00,25841.00,30948.00,7468.00,12332.00,3360.00
SEP,136267.00,6742.00,41668.00,31379.00,15758.00,35454.00,5265.00,91673.00,7464.00,27270.00,32930.00,7769.00,12643.00,3598.00
OCT,139309.00,6906.00,42232.00,32212.00,16224.00,36667.00,5068.00,94829.00,7858.00,27661.00,33752.00,8027.00,13562.00,3969.00
NOV,143475.00,6825.00,44732.00,32822.00,16514.00,37690.00,4893.00,94635.00,8581.00,27111.00,33784.00,8627.00,12861.00,3671.00
DEC,147620.00,6972.00,46190.00,34275.00,17659.00,37365.00,5160.00,98293.00,8709.00,28446.00,35067.00,8920.00,13161.00,3990.00
2008,2103641.00,88997.00,779481.00,453743.00,231242.00,481643.00,68536.00,1287442.00,108349.00,388033.00,457655.00,121451.00,161281.00,50673.00
JAN,175412.00,7157.00,64207.00,37703.00,21162.00,39656.00,5528.00,104441.00,8702.00,30038.00,38054.00,10225.00,13370.00,4052.00
FEB,179496.00,7246.00,64456.00,38649.00,22406.00,41345.00,5394.00,107512.00,9114.00,32051.00,37952.00,10660.00,13297.00,4439.00
MAR,175126.00,7172.00,62791.00,38580.00,20414.00,40397.00,5772.00,105976.00,9406.00,32442.00,37585.00,9666.00,12743.00,4135.00
APR,182776.00,7447.00,67627.00,39461.00,21388.00,40918.00,5934.00,110383.00,9592.00,33331.00,39425.00,10153.00,13584.00,4297.00
