  Period,Btotal,Bgoods,Bservices,Etotal,Egoods,Eservices,Itotal,Igoods,Iservices,
AUG,-8303,-13960,5657,60407,43522,16885,68710,57482,11228,
SEP,-8310,-13801,5491,60715,43950,16765,69026,57752,11274,
OCT,-9158,-14788,5630,59861,43087,16774,69019,57875,11144,
NOV,-9615,-15643,6028,61532,44280,17252,71147,59923,11224,
DEC,-8456,-14586,6130,62825,45461,17364,71281,60047,11234,
1995,-96384,-174170,77786,794387,575204,219183,890771,749374,141397,
JAN,-9324,-15562,6238,63118,45458,17660,72442,61020,11422,
FEB,-8817,-14487,5670,63077,46031,17046,71894,60518,11376,
MAR,-9708,-15547,5839,64349,46882,17467,74057,62429,11628,
APR,-9609,-15901,6292,65074,47165,17909,74682,63065,11617,
MAY,-9090,-15420,6330,65755,47742,18013,74845,63162,11683,
JUN,-10623,-16068,5445,64855,47614,17241,75478,63682,11796,
JUL,-7688,-14448,6760,66560,47985,18575,74247,62432,11815,
AUG,-6704,-13515,6811,67469,48770,18699,74173,62285,11888,
SEP,-5924,-13187,7263,68943,49781,19162,74867,62968,11899,
OCT,-6114,-12861,6747,68105,49272,18833,74219,62133,12086,
NOV,-6514,-13597,7083,68009,48852,19157,74523,62449,12074,
DEC,-6271,-13577,7306,69071,49653,19418,75342,63230,12112,
1996,-104065,-191000,86935,851602,612113,239489,955667,803113,152554,
JAN,-8465,-15007,6542,68299,49554,18745,76764,64561,12203,
FEB,-7319,-13764,6445,69899,50973,18926,77217,64736,12481,
MAR,-7756,-15122,7366,69797,50026,19771,77553,65148,12405,
APR,-8744,-15597,6853,70126,50797,19329,78870,66394,12476,
MAY,-9259,-16668,7409,71029,50914,20115,80288,67582,12706,
JUN,-7460,-14944,7484,71056,51150,19906,78516,66094,12422,
JUL,-10132,-16397,6265,69404,50030,19374,79536,66427,13109,
AUG,-10357,-17097,6740,70563,50877,19686,80919,67973,12946,
SEP,-10195,-17018,6823,70553,50949,19604,80748,67967,12781,
OCT,-6635,-15070,8435,73769,52306,21463,80404,67376,13028,
NOV,-7268,-15814,8546,74263,52698,21565,81531,68512,13019,
DEC,-10475,-18502,8027,72842,51840,21002,83317,70342,12975,
1997,-108273,-198428,90155,934453,678366,256087,1042726,876794,165932,
JAN,-11269,-18455,7186,72910,52260,20650,84179,70715,13464,
FEB,-9776,-17036,7260,75225,54470,20755,85001,71506,13495,
MAR,-8383,-16048,7665,77050,55940,21110,85433,71988,13445,
APR,-8086,-15778,7692,77769,56621,21148,85855,72399,13456,
MAY,-8394,-16248,7854,77883,56386,21497,86277,72634,13643,
JUN,-7154,-15021,7867,78889,57242,21647,86043,72263,13780,
JUL,-7033,-14718,7685,80099,58545,21554,87132,73263,13869,
AUG,-8743,-16505,7762,78622,56895,21727,87365,73400,13965,
SEP,-9269,-16597,7328,79287,57714,21573,88556,74311,14245,
OCT,-9089,-16820,7731,79383,57655,21728,88472,74475,13997,
NOV,-9786,-16854,7068,78300,56982,21318,88086,73836,14250,
DEC,-11289,-18350,7061,79038,57654,21384,90327,76004,14323,
1998,-166140,-248221,82081,933174,670416,262758,1099314,918637,180677,
JAN        ,-10776,-18016,7240,79008,57500,21508,89784,75516,14268,
FEB       ,-11564,-18302,6738,77931,56627,21304,89495,74929,14566,
MAR          ,-12880,-20288,7408,78812,56934,21878,91692,77222,14470,
APR          ,-13940,-21488,7548,77626,55229,22397,91566,76717,14849,
MAY            ,-14202,-21493,7291,77147,55073,22074,91349,76566,14783,
JUN           ,-13247,-19957,6710,76961,55257,21704,90208,75214,14994,
JUL           ,-13949,-20316,6367,76149,54618,21531,90098,74934,15164,
AUG         ,-16028,-22389,6361,75512,53945,21567,91540,76334,15206,
SEP      ,-14820,-21096,6276,77179,55490,21689,91999,76586,15413,
OCT        ,-14815,-21414,6599,79351,56962,22389,94166,78376,15790,
NOV       ,-15173,-21752,6579,79117,56949,22168,94290,78701,15589,
DEC       ,-14745,-21709,6964,78382,55833,22549,93127,77542,15585,
1999,-263160,-336171,73011,967008,698218,268790,1230168,1034389,195779,
JAN        ,-16082,-22292,6211,77835,56269,21566,93916,78561,15355,
FEB       ,-18856,-25083,6227,77436,55645,21791,96292,80728,15564,
MAR          ,-18218,-24371,6152,78243,55990,22253,96462,80361,16101,
APR          ,-18630,-24508,5878,78716,56882,21835,97346,81389,15957,
MAY            ,-20694,-26635,5942,78782,56723,22059,99475,83358,16117,
JUN           ,-23622,-29633,6011,79070,56665,22405,102692,86298,16394,
JUL           ,-24098,-30089,5991,80019,57500,22519,104117,87589,16529,
AUG         ,-23617,-29596,5979,81508,58930,22578,105125,88526,16599,
SEP      ,-23454,-29627,6172,82718,59920,22798,106172,89546,16626,
OCT        ,-23815,-30114,6299,83410,60274,23136,107225,90388,16837,
NOV       ,-25566,-31745,6179,84286,60836,23450,109852,92581,17271,
DEC       ,-26510,-32479,5969,84983,62585,22397,111493,95064,16428,
2000,-376749,-445787,69038,1072783,784781,288002,1449532,1230568,218964,
JAN        ,-27418,-33281,5863,85556,62483,23074,112974,95763,17210,
FEB       ,-30340,-36133,5793,86055,62425,23631,116395,98557,17838,
MAR          ,-31632,-37266,5633,87277,63539,23738,118909,100805,18104,
APR          ,-29060,-35601,6541,88643,64276,24366,117703,99878,17825,
MAY            ,-29994,-35800,5806,87805,64002,23804,117800,99802,17998,
JUN           ,-31178,-37165,5987,90549,66347,24202,121727,103512,18215,
JUL           ,-31791,-37458,5667,90054,66022,24032,121845,103480,18364,
AUG         ,-30256,-35951,5695,92058,67903,24155,122314,103854,18460,
SEP      ,-34221,-39101,4880,91981,67845,24136,126202,106946,19256,
OCT        ,-33726,-39446,5719,91330,67048,24282,125056,106493,18563,
NOV       ,-33097,-38760,5663,91213,66876,24337,124310,105636,18674,
DEC       ,-34036,-39826,5790,90260,66015,24245,124296,105841,18455,
2001,-361771,-421276,59505,1007726,731189,276537,1369496,1152464,217032,
JAN,-35076,-40631,5556,90277,65974,24304,125353,106605,18748,
FEB,-29335,-35211,5877,90282,66267,24014,119616,101479,18138,
MAR,-32598,-38461,5864,88714,64521,24193,121311,102982,18329,
APR,-31315,-36002,4688,86988,63257,23731,118303,99260,19043,
MAY,-27776,-32546,4770,87482,63875,23607,115258,96421,18838,
JUN,-29380,-34721,5342,85265,61355,23910,114645,96076,18568,
JUL,-30086,-35107,5021,82967,59402,23565,113053,94509,18544,
AUG,-28239,-33303,5064,83730,59999,23731,111968,93302,18667,
SEP,-30844,-35238,4394,77286,56516,20770,108130,91754,16376,
OCT,-30724,-35000,4276,78114,57068,21046,108839,92069,16770,
NOV,-29612,-33906,4294,78439,56802,21637,108051,90708,17343,
DEC,-26786,-31148,4362,78180,56152,22027,104966,87301,17665,
2002,-417432,-474491,57059,980879,697439,283440,1398311,1171930,226381,
JAN,-29312,-33731,4418,78966,56403,22563,108278,90133,18145,
FEB,-32105,-36175,4070,78910,56091,22819,111015,92266,18749,
MAR,-30790,-36071,5280,79613,56178,23435,110403,92249,18155,
APR,-33571,-38623,5052,81500,58316,23184,115071,96939,18132,
MAY,-33934,-39158,5224,81682,58173,23509,115616,97332,18285,
JUN,-35011,-39583,4572,82705,59192,23513,117716,98775,18941,
JUL,-33932,-38650,4718,83125,59526,23599,117057,98176,18881,
AUG,-35834,-41047,5213,83484,59568,23916,119318,100615,18703,
SEP,-36509,-41094,4585,82893,59194,23699,119402,100288,19114,
OCT,-34657,-39426,4769,82565,58382,24184,117222,97808,19415,
NOV,-38931,-43722,4791,83747,59254,24493,122679,102976,19702,
DEC,-42845,-47212,4367,81686,57162,24524,124531,104374,20158,
2003,-490984,-540409,49425,1023519,729816,293703,1514503,1270225,244278,
JAN,-40653,-44579,3926,82441,58645,23796,123094,103224,19870,
FEB,-39188,-43367,4179,83105,59347,23759,122293,102714,19580,
MAR,-43272,-47001,3729,82887,59435,23452,126159,106436,19723,
APR,-41990,-45579,3589,81475,58752,22723,123465,104331,19134,
MAY,-40739,-45030,4290,82320,58769,23550,123059,103799,19260,
JUN,-39616,-43808,4192,84804,60892,23912,124420,104701,19719,
JUL,-41044,-44859,3815,85509,61158,24351,126552,106017,20535,
AUG,-39453,-43526,4073,84374,59679,24695,123827,103205,20622,
SEP,-41308,-45511,4203,86364,61349,25015,127672,106860,20812,
OCT,-40801,-45234,4433,88601,62793,25808,129403,108027,21375,
NOV,-39329,-43873,4545,90974,64916,26058,130303,108789,21514,
DEC,-43594,-48040,4447,90664,64081,26582,134257,112122,22136,
2004,-605357,-663507,58150,1163146,821986,341160,1768502,1485492,283010,
JAN,-44216,-48758,4542,90160,63142,27019,134376,111900,22477,
FEB,-43963,-48921,4957,93854,66330,27525,137818,115250,22567,
MAR,-46161,-51439,5278,96392,68352,28040,142553,119791,22762,
APR,-46873,-52043,5169,95847,67682,28165,142720,119724,22996,
MAY,-47803,-52435,4632,97358,69346,28012,145161,121781,23380,
JUN,-54432,-58815,4383,94969,66887,28082,149400,125702,23698,
JUL,-50957,-55995,5038,96652,68368,28284,147608,124363,23245,
AUG,-52868,-56858,3991,97106,68836,28270,149974,125694,24280,
SEP,-50997,-55825,4827,98507,69994,28513,149504,125819,23685,
OCT,-54583,-59476,4893,100005,70788,29217,154588,130264,24324,
NOV,-58374,-63398,5024,99787,70004,29784,158161,133402,24759,
DEC,-54130,-59543,5413,102509,72258,30251,156639,131801,24838,
2005,-708624,-780730,72106,1287441,911686,375755,1996065,1692416,303649,
JAN,-55397,-61048,5651,102896,72545,30350,158293,133593,24700,
FEB,-57255,-63303,6048,103705,73071,30635,160960,136373,24587,
MAR,-52425,-58797,6372,104659,73599,31060,157084,132396,24688,
APR,-56796,-62464,5667,106976,76295,30681,163773,138759,25014,
MAY,-55835,-61534,5700,106512,75679,30834,162347,137213,25134,
JUN,-57733,-63391,5658,106613,75656,30957,164346,139048,25299,
JUL,-57546,-63163,5617,106917,75853,31064,164462,139016,25447,
AUG,-57838,-63748,5910,108293,77028,31265,166130,140776,25355,
SEP,-64192,-70335,6143,107096,75230,31866,171287,145565,25722,
OCT,-66428,-72974,6546,109570,77329,32241,175998,150303,25695,
NOV,-63381,-69634,6253,110795,78733,32061,174175,148367,25808,
DEC,-63800,-70340,6540,113410,80668,32742,177210,151008,26202,
2006,-753288,-835689,82401,1459823,1039406,420417,2213111,1875095,338016,
JAN,-66671,-72784,6113,114984,81867,33117,181656,154651,27005,
FEB,-62120,-67368,5248,116033,82821,33213,178153,150188,27965,
