Period,Total Census Basis (1),End-Use Commodity Category ,,,,,
,,"Foods, Feeds, Beverages",Industrial Supplies (2),Capital Goods,"Automotive Vehicles, etc.",Consumer Goods,Other Goods
November,"154,406","6,465","46,882","35,840","21,317","38,824","5,077"
December,"158,312","6,542","48,474","35,829","23,140","39,136","5,190"
,,,,,,,
2005,"1,673,455","68,094","523,771","379,331","239,449","407,237","55,572"
January,"132,065","5,438","38,616","30,719","19,573","33,298","4,421"
February,"134,921","5,416","40,052","30,174","19,554","35,344","4,380"
March,"130,902","5,420","39,805","29,921","18,803","32,484","4,469"
April,"137,129","5,550","41,778","31,796","19,220","33,903","4,882"
May,"135,665","5,618","40,019","31,271","19,901","34,136","4,720"
June,"137,614","5,696","41,183","32,253","19,512","34,283","4,688"
July,"137,423","5,576","42,085","31,689","19,763","33,676","4,634"
August,"139,189","5,726","43,766","31,531","20,154","33,467","4,546"
September,"143,958","5,923","46,945","32,172","20,121","34,009","4,788"
October,"148,676","5,776","50,706","32,305","20,852","34,305","4,730"
November,"146,650","5,922","49,371","32,285","20,678","33,640","4,753"
December,"149,264","6,033","49,444","33,213","21,318","34,694","4,561"
,,,,,,,
2004,"1,469,704","62,143","412,772","343,582","228,163","372,938","50,106"
January,"110,890","4,812","28,796","26,802","17,739","28,799","3,942"
February,"113,977","5,026","30,671","26,652","18,514","28,974","4,141"
March,"118,678","5,116","31,643","27,605","19,028","31,106","4,180"
April,"118,542","5,091","30,817","27,841","19,131","31,428","4,233"
May,"120,671","5,260","32,682","28,072","19,286","31,166","4,205"
June,"124,355","5,271","35,184","29,198","18,978","31,496","4,227"
July,"122,979","5,220","34,067","29,054","19,328","31,154","4,156"
August,"124,224","5,193","36,231","28,818","18,642","31,042","4,297"
September,"124,400","5,047","35,197","29,603","19,577","30,852","4,124"
October,"128,810","5,245","38,158","30,063","19,580","31,606","4,157"
November,"131,867","5,420","40,648","29,751","19,203","32,712","4,134"
December,"130,310","5,442","38,676","30,123","19,157","32,602","4,310"
,,,,,,,
2003,"1,257,121","55,831","313,818","295,867","210,139","333,878","47,587"
January,"102,284","4,484","25,685","24,321","17,087","26,745","3,962"
February,"101,719","4,386","26,081","23,464","16,904","26,975","3,908"
March,"105,340","4,609","27,906","23,651","17,356","27,820","3,997"
April,"103,175","4,642","25,789","24,273","17,198","27,358","3,916"
May,"102,613","4,625","24,707","24,325","17,599","27,512","3,845"
June,"103,398","4,468","25,270","24,419","18,131","27,068","4,041"
July,"105,082","4,635","26,558","24,396","17,802","27,650","4,042"
August,"101,990","4,616","25,874","24,011","15,934","27,771","3,785"
September,"105,721","4,844","26,287","25,121","17,527","28,021","3,920"
October,"107,040","4,797","25,953","25,488","17,964","28,828","4,011"
November,"107,742","4,878","25,811","25,732","18,211","29,047","4,063"
December,"111,017","4,847","27,896","26,666","18,426","29,084","4,098"
,,,,,,,
2002,"1,161,366","49,687","267,693","283,323","203,743","307,842","49,078"
January,"89,443","3,878","19,553","22,839","15,718","23,446","4,010"
February,"91,539","3,969","19,469","23,131","16,437","24,541","3,991"
March,"91,447","3,951","19,715","23,414","16,217","23,847","4,302"
April,"95,972","4,019","22,524","23,731","16,944","24,745","4,010"
May,"96,395","4,097","22,370","23,679","16,794","25,362","4,093"
June,"97,848","4,143","21,912","23,958","17,128","26,346","4,362"
July,"97,197","4,228","22,169","23,846","16,871","26,034","4,049"
August,"99,721","4,255","23,095","23,732","17,714","26,901","4,025"
September,"99,364","4,204","23,151","23,759","17,654","26,465","4,131"
October,"96,860","4,095","24,097","22,392","17,091","25,169","4,017"
November,"102,120","4,382","24,416","24,374","17,555","27,417","3,976"
December,"103,460","4,466","25,223","24,469","17,621","27,569","4,112"
,,,,,,,
2001,"1,140,999","46,641","273,870","297,993","189,782","284,293","48,421"
January,"105,470","3,900","27,988","28,825","15,997","24,618","4,142"
February,"100,350","3,796","25,887","27,822","15,606","23,158","4,082"
March,"101,853","3,737","25,320","28,199","15,678","25,098","3,821"
April,"98,164","3,746","24,152","25,855","15,927","24,311","4,173"
May,"95,150","3,766","23,365","24,591","15,704","23,534","4,189"
June,"94,978","3,922","22,791","24,518","15,963","23,764","4,020"
July,"93,680","4,006","21,924","23,871","15,986","23,854","4,039"
August,"92,569","3,942","21,637","23,541","16,253","23,264","3,932"
September,"90,957","4,047","21,356","22,581","15,669","23,425","3,878"
October,"91,322","4,031","20,668","22,976","15,724","23,885","4,037"
November,"89,979","3,973","19,947","22,763","15,895","23,329","4,072"
December,"86,527","3,774","18,835","22,451","15,380","22,052","4,035"
,,,,,,,
2000,"1,218,022","45,979","298,980","347,025","195,875","281,832","48,331"
January,"93,900","3,670","21,696","26,237","16,732","21,722","3,843"
February,"95,901","3,694","23,528","26,536","16,092","22,027","4,024"
March,"99,176","3,867","24,706","27,332","16,494","22,881","3,895"
April,"99,242","3,829","23,458","28,468","16,409","23,200","3,879"
May,"99,651","3,817","24,191","28,673","15,946","23,274","3,749"
June,"103,019","3,822","25,681","29,413","16,498","23,474","4,132"
July,"103,349","3,885","25,852","29,358","16,544","23,649","4,060"
August,"103,665","3,920","25,268","30,016","16,354","23,847","4,259"
September,"106,396","3,886","26,470","31,171","16,441","24,217","4,211"
October,"106,056","3,855","26,418","30,284","16,652","24,770","4,077"
November,"103,993","3,938","25,429","29,597","16,209","24,642","4,177"
December,"103,673","3,795","26,283","29,940","15,502","24,128","4,025"
,,,,,,,
1999,"1,024,618","43,602","221,386","295,717","178,964","241,905","43,044"
January,"77,781","3,556","15,318","22,963","13,779","18,839","3,325"
February,"79,842","3,563","15,281","23,590","14,379","19,711","3,317"
March,"79,569","3,460","15,986","23,184","14,413","18,947","3,579"
April,"80,801","3,591","17,010","23,502","13,811","19,409","3,480"
May,"83,200","3,672","17,931","24,211","14,681","19,214","3,492"
June,"85,868","3,711","18,124","25,190","15,298","19,986","3,560"
July,"87,186","3,620","18,698","25,422","15,337","20,578","3,530"
August,"87,837","3,634","19,968","24,816","15,140","20,529","3,749"
September,"88,512","3,665","20,300","24,966","15,401","20,498","3,683"
October,"89,923","3,607","20,590","25,590","15,108","21,179","3,849"
November,"90,984","3,711","20,871","25,869","15,413","21,396","3,724"
December,"93,115","3,814","21,308","26,414","16,204","21,620","3,755"
,,,,,,,
1998,"911,896","41,243","200,140","269,451","148,680","216,996","35,387"
January,"74,523","3,325","17,282","21,921","11,780","17,508","2,707"
February,"74,184","3,526","16,861","22,227","11,903","17,043","2,625"
March,"76,369","3,455","16,754","22,939","12,417","18,151","2,654"
April,"76,350","3,398","17,316","22,305","12,291","18,149","2,891"
May,"76,492","3,412","17,223","22,826","12,395","18,023","2,612"
June,"74,911","3,523","16,797","22,122","11,727","18,113","2,629"
July,"74,594","3,448","16,548","22,257","10,837","18,364","3,140"
August,"75,707","3,396","16,654","22,123","12,140","18,251","3,143"
September,"76,107","3,405","16,295","22,360","12,712","18,200","3,136"
October,"77,880","3,439","16,602","22,865","13,221","18,536","3,218"
November,"77,912","3,430","16,327","22,961","13,440","18,468","3,286"
December,"76,867","3,488","15,483","22,544","13,815","18,191","3,346"
,,,,,,,
1997,"869,704","39,694","213,767","253,282","139,812","193,811","29,338"
January,"69,846","3,063","18,334","19,489","11,665","15,166","2,129"
February,"70,131","3,140","17,849","19,657","11,763","15,262","2,461"
March,"70,023","3,206","17,800","20,151","11,329","15,297","2,241"
April,"71,262","3,280","17,464","20,775","11,339","15,942","2,462"
May,"72,137","3,361","17,920","20,905","11,582","16,004","2,364"
June,"71,658","3,240","17,393","20,941","11,724","15,929","2,431"
July,"73,330","3,429","17,368","21,760","12,080","16,212","2,482"
August,"73,623","3,394","17,901","21,728","11,735","16,360","2,506"
September,"74,408","3,469","18,256","21,945","11,582","16,672","2,484"
October,"74,641","3,383","18,198","22,112","11,598","16,650","2,701"
November,"73,588","3,316","17,796","21,350","11,518","17,061","2,547"
December,"75,056","3,414","17,488","22,469","11,898","17,257","2,530"
,,,,,,,
1996,"795,289","35,710","204,482","228,074","128,938","171,983","26,102"
January,"63,825","2,723","15,735","19,273","10,462","13,586","2,047"
February,"63,519","2,857","15,100","19,209","10,421","13,806","2,128"
March,"63,806","2,883","15,707","19,165","10,070","13,834","2,146"
April,"64,459","2,960","16,664","18,666","10,377","13,578","2,214"
May,"66,464","3,011","17,142","18,874","11,158","14,099","2,180"
June,"66,087","2,950","17,071","18,779","10,906","14,177","2,205"
July,"66,253","2,938","17,136","18,684","11,125","14,169","2,202"
August,"67,329","3,067","17,318","18,916","11,289","14,621","2,118"
September,"68,080","3,079","17,873","18,940","11,035","14,922","2,231"
October,"67,423","3,050","18,181","18,804","10,234","14,980","2,174"
November,"68,364","3,031","17,661","19,267","11,233","14,895","2,276"
December,"69,681","3,163","18,895","19,498","10,630","15,316","2,180"
,,,,,,,
1995,"743,543","33,176","181,849","221,431","123,795","159,905","23,387"
January,"60,492","2,850","14,443","17,071","10,927","13,281","1,920"
February,"59,836","2,847","14,482","17,007","10,652","13,035","1,814"
March,"61,390","2,863","15,124","17,533","10,706","13,380","1,784"
April,"62,557","2,719","15,605","18,059","10,993","13,451","1,730"
May,"62,311","2,656","15,628","18,176","10,399","13,487","1,966"
June,"62,698","2,773","15,626","18,615","10,252","13,474","1,957"
July,"62,479","2,734","15,401","18,793","9,941","13,612","1,997"
August,"62,042","2,712","15,050","18,794","9,966","13,484","2,035"
September,"62,845","2,794","15,388","19,101","10,214","13,361","1,987"
October,"62,028","2,747","14,766","19,516","9,666","13,227","2,107"
November,"62,138","2,738","15,110","19,461","9,797","13,030","2,002"
December,"62,727","2,742","15,229","19,302","10,283","13,084","2,087"
,,,,,,,
1994,"663,256","30,958","162,114","184,368","118,271","146,274","21,272"
January,"50,027","2,443","11,683","14,027","8,670","11,520","1,685"
February,"50,399","2,363","11,920","14,004","8,904","11,515","1,693"
March,"52,267","2,558","12,622","14,472","9,395","11,444","1,777"
April,"52,936","2,519","12,633","14,757","9,324","11,913","1,791"
May,"53,830","2,543","13,100","14,900","9,531","12,000","1,756"
June,"55,731","2,590","13,999","15,204","9,979","12,173","1,787"
July,"56,096","2,593","14,359","15,314","9,962","12,144","1,724"
August,"57,396","2,690","14,740","15,406","10,411","12,414","1,734"
September,"57,640","2,695","14,292","16,318","9,958","12,534","1,844"
October,"57,950","2,654","13,923","16,317","10,507","12,731","1,819"
November,"59,778","2,649","14,563","16,939","10,810","13,011","1,807"
December,"59,204","2,663","14,279","16,711","10,820","12,874","1,856"
,,,,,,,
1993,"580,659","27,867","145,606","152,365","102,420","134,015","18,386"
January,"45,495","2,262","11,644","11,678","8,042","10,467","1,403"
February,"45,102","2,174","11,058","11,857","8,373","10,336","1,305"
